" Republicans Turn On Trump, Throw Him Under The Bus For F*cking Up Health Care Plan (DETAILS)","When Republicans celebrated Donald Trump s undeserved election victory, they probably never imagined he d damage the party as badly as he already has in just nine weeks.This week, Trump once again embarrassed the GOP by messing up their first attempt to repeal and replace Obamacare. Not only did Trump fail to sell the disastrous American Health Care Act, but he pulled the bill on Friday. Understandably, Republicans are pissed that Trump conducted things this way, and are distancing themselves from him more than ever. In fact, they re blaming him and saying that he and the White House had been an obstacle from the start, setting them up for failure. One House Republican (who wanted to remain anonymous) said: Their heart was not in the healthcare battle. Think about the level of intensity on the executive orders for the travel ban, or on the wiretapping claims. He certainly checked the boxes on healthcare, to his credit. But it s self-evident there was not a certain level of intensity devoted to this. Trump and his minions have countered this claim, with Press Secretary Sean Spicer issuing a statement on Saturday: The president and vice president left everything on the field  They were making calls and having members to the White House all week. In total, we spoke or met with over 120 members of Congress. And yet, this doesn t seem to add up, considering that Trump s daughter Ivanka and son-in-law Jared Kushner were nowhere to be found as sh*t was hitting the fan on Friday. Kushner, who is one of Trump s key advisors, was actually skiing with Ivanka in Aspen as House Republicans tried to pass their horrible health care bill and failed. And it s not just Kushner they re pissed at   it s Trump himself.According to House staffers and other GOPers, Trump didn t seem focused when in meetings concerning the Obamacare repeal. Another unnamed Republican said: Halfway through that meeting, he stopped to talk about Gorsuch. His mind was bouncing around. I never felt they were dialed into this. Maybe next time the GOP will think twice about letting a five-year-old become their party s nominee. What we re witnessing here is the breakdown of the Republican Party, and it s so humiliating that we almost feel bad for them. Almost.Featured image is a screenshot",News,25-Mar-17
" Sean Spicer’s Twitter History Comes Back To Bite Him In The Ass, Trump PISSED (TWEETS)","No matter what Donald Trump does or where he goes, he s never actually doing the right thing and fulfilling his duties as POTUS.One might think that after suffering such a monstrous fail with his American Health Care Act, the president might double down and get right back to work on his quest to somehow  improve  Obamacare, which he insists is awful despite the fact the Americans overwhelmingly approve of it. But no   instead, Trump decided to spend his Saturday the way he s spent pretty much every Saturday since he became president   by playing golf.In the short 9 weeks of his presidency, Trump has already gone golfing 12 times   which is far more than any of his predecessors and former President Barack Obama, whom Trump once criticized for taking any downtime to play golf. Trump has been getting blasted for his weekend golfing getaways, and the White House has gone to great lengths to hide it:However, Trump s cover was blown when some Instagram photographs of Trump surfaced, revealing to Americans what Trump REALLY does when he has his  meetings. Pool was told Trump was in meetings at Trump National this afternoon. This Instagram photo posted from the course says otherwise pic.twitter.com/WMudqofGmO  Josh Billinson (@jbillinson) March 25, 2017As you can imagine, the internet didn t take kindly to being lied to, and went after Trump. One of the gems that resurfaced from this Twitter attack was this amazing old tweet from White House Press Secretary Sean Spicer   which is going to basically make Trump explode:Wow. That s one tweet Spicer probably wish he d never posted during Obama s presidency, because now it s insulting HIS boss! To make this even more humiliating for Spicer and Trump, Spicer recently defended Trump s  privacy  when he was questioned about how often Trump golfs.Twitter is basically losing it over this hypocrisy, and we can t help but laugh along:@seanspicer ? pic.twitter.com/pw2LQVmW1h  Parts Unknown (@nia_negasi) March 25, 2017   Featured images via Gage Skidmore / Flickr",News,25-Mar-17
 WATCH: FBI May Have VERY High-Level Witness To Blow Russia Scandal Apart,"CNN is reporting that Trump s disgraced national security adviser, Gen. Michael Flynn, may be the key to blowing apart the Russia scandal. Three of four key people, including Carter Page, Roger Stone and Paul Manafort, who have their own suspicious ties to Russia, have volunteered to speak to the House Intelligence Committee, but we haven t heard from Flynn recently. CNN s sources explain why: It is starting to look like, from my sources and then also from open reporting, that Mike Flynn is the one who may have a deal with the FBI, and that s why we have not heard from him for some time. It sounds somewhat uncertain and it is right now. However, Seth Abramson, who s an attorney and also a professor at the University of New Hampshire, broke it down this way:(1) First, as an attorney I want to make clear that, if this @CNN analyst s sources are correct, the #Russiagate scandal is blown wide open.  Seth Abramson (@SethAbramson) March 25, 2017(2) The FBI flips witnesses, turning them into cooperating individuals, _only_ when they can help secure conviction of a bigger  target.  Seth Abramson (@SethAbramson) March 25, 2017(3) Michael Flynn was the National Security Adviser for the President of the United States. The only _bigger_ target is Donald J. Trump.  Seth Abramson (@SethAbramson) March 25, 2017(4) But Flynn also held a clandestine meeting with Russian ambassador/spy Sergey Kislyak and Trump son-in-law Jared Kushner in December  16.  Seth Abramson (@SethAbramson) March 25, 2017(5) And Flynn coordinated with infamous Iran-Contra figure and Russian oil/gas pipeline advocate Bud McFarlane in hiring Trump s Deputy NSA.  Seth Abramson (@SethAbramson) March 25, 2017(6) And of course Flynn had the highest possible clearance and greatest possible access to POTUS in discussing matters of national security.  Seth Abramson (@SethAbramson) March 25, 2017(7) Flynn s hire as NSA was controversial even suspicious when it was made due to Flynn s absolutely _terrible_ reputation in Washington.  Seth Abramson (@SethAbramson) March 25, 2017(8) This suggests the hire wasn t based on merit, but rather the fact that Flynn is _known_ to have ties (in-person ties) to Vladimir Putin.  Seth Abramson (@SethAbramson) March 25, 2017(9) We should conclude from the foregoing that Flynn was in the best position of _anyone_ involved in #Russiagate to see _all_ its contours.  Seth Abramson (@SethAbramson) March 25, 2017(10) Given all of the above, we can say that if any one person could bring down Trump due to #Russiagate, it s the man the FBI may now have. pic.twitter.com/sLwjBTVTcF  Seth Abramson (@SethAbramson) March 25, 2017There are reports that Flynn s spokesperson has said that Flynn will neither confirm nor deny whether he s cooperating with the FBI at this time.This is a developing story that s worth keeping an eye on, because this scandal is snowballing as more information comes out. Should CNN s story come to pass, then everyone involved, including Trump, will be in a world of shit.Even Devin Nunes, who keeps insisting that finding the leakers is mre important than getting to the bottom of the scandal, won t be able to maintain his position.Featured image by Kevin Hagen via Getty Images",News,25-Mar-17
 Rep. Ted Lieu Torches ‘Evil’ Donald Trump Over His Cruel Approach To Healthcare (TWEETS),"Donald Trump and Paul Ryan thought they d get to pass what could possibly be described as the most cruel approach to healthcare imaginable this past week. However, they couldn t even get members of their own party to go along with what was clearly a disaster. To that end, Trump, never one to take the blame for anything himself, decided to blame the Democrats for not voting with him on his horrible bill   even though it could have passed through the House of Representatives without so much as a single Democratic vote. Now that this excuse won t fly, Trump is back to his old line: Let Obamacare  explode. Well, Representative Ted Lieu (D-CA) is calling Trump on his horrible approach to handling the Affordable Care Act. Taking to Trump s own favorite platform, Twitter, Rep. Lieu said to Trump: President Donald Trump: You truly are an evil man. Your job is to help Americans. Not intentionally try to destroy their lives. ""President"" @realDonaldTrump: You truly are an evil man. Your job is to help Americans. Not intentionally try to destroy their lives. https://t.co/2M94E1g39b  Ted Lieu (@tedlieu) March 25, 2017Rep. Lieu them went on to remind Trump of the oath he took when he assumed the office of the presidency:Mr. ""President"": Art II of Constitution requires you to faithfully execute laws passed by Congress. Subverting #Obamacare violates your Oath https://t.co/2M94E1g39b  Ted Lieu (@tedlieu) March 25, 2017So, in other words, if Trump tries to sabotage the law, he will be in violation of his Oath of Office. Then again, he violates it every day, so what s one more instance of said violations, right?Ted Lieu is correct, though. Donald Trump is evil. This whole thing was nothing but a massive ego trip for him, and he doesn t give a damn about the citizens of this nation.Featured image via By Tom Williams/CQ Roll Call/Getty Images",News,25-Mar-17
 WATCH: Joy Reid And Panel RIP House Intel Chair And Trump Stooge Devin Nunes Apart Piece By Piece,"An examination of Republican House Intelligence Committee Chairman Devin Nunes on Saturday was totally devastating and damning.This week, after FBI Director James Comey refuted Donald Trump s claim that he was wiretapped by President Obama, Nunes held a hasty press conference in a desperate effort to portray Trump as a victim whose wiretapping accusation was right all along.Nunes is in charge of the committee that is supposed to be investigating Trump s Russia scandal, but he tied the wiretapping claim into it in order to distract from the main investigation.But reporters have been digging into Nunes this week and have found some bombshells that should bring Trump and the GOP down, and Joy Reid and her panel discussed the top four.First, Nunes told Mother Jones reporter David Corn that he has never heard of Carter Page or Roger Stone, both of whom are Trump stooges with ties to Russia. Again, Nunes is the chair of the House Intelligence Committee charged with investigating Trump s ties to Russia. He should damn well know who Stone and Page are.Even Corn was  stunned  by Nunes answer and had only three possible explanations. Either he s a dimwit who hasn t read a single story about the matter he s supposed to be vetting or he has some brain disease and can t remember or he was lying to me,  Corn said.  Those are the only options I can think of. It was a bizarre moment and you re right, we could spend the next hour talking about all the weird things and bizarre things he did this week from cancelling hearings to coming forward with incomplete information to rushing to Trump. Corn then warned that Nunes demonstrated that the House Intelligence Committee is broken and is incapable of overseeing what the Executive Branch is doing. It is a breakdown, and I say this to be serious. It s the breakdown of the Congressional intelligence oversight process and the only reason we let the Executive Branch do secret work in terms of espionage, counterintelligence, counter-terrorism is because they ve overseen by the Legislative Branch. And Devin Nunes just showed this week that there is a complete breakdown in that process. Reid then turned to national security expert Malcolm Nance and asked him about why Nunes abruptly left his car after taking a phone call and disappeared for a bit. Nance opined that Nunes got called to the White House and was told to present the  incidental surveillance  as proof to vindicate Trump. Because soon after his disappearing act, Nunes called his press conference. Nance went on to call Nunes  clueless about what surveillance is. But that s not all. Reid asked Sarah Kendzior, who is an expert on authoritarian states, about Nunes taking information about the investigation to Trump.Kendzior explained that Nunes is  supposed to be watchdog but he s acting like a lapdog  and that instead of investigating, he s  acting like an informant.  She cited Nunes  behavior as just another example of Trump s corrupt regime.Scott Dworkin chimed in when Reid asked about Nunes owning part of a winery that has a direct connection to Russian dictator Vladimir Putin through a Russian investor. Dworkin pointed out that it should not be so easy to be connected to Putin and stated that Nunes should not be a congressman and he definitely shouldn t be the chairman of the intelligence committee since his wallet is so close to Putin.Here s the video via VidMe:Reid and the panel also wondered how Nunes ended up becoming the chairman of the House Intelligence Committee considering he has no intelligence experience and doesn t know much about it.But the bottom line is that Nunes just destroyed his credibility and the credibility of the committee he chairs. This investigation needs to be turned over to a special prosecutor and an independent commission because it s clear that Nunes is more interested in helping Trump cover up his Russia scandal than he is in investigating it and finding the truth.Featured image via screenshot",News,25-Mar-17
 Trump Staff Hangs Absurdly Offensive Abraham Lincoln Banner In Mar-A-Lago Dining Room,"A few years ago, teenage pop star Justin Bieber angered many people by commenting that he thought Holocaust victim Anne Frank would have been a  belieber.  Today, the 70-year-old President of the United States and his enablers pulled a similarly bone-headed stunt. Bieber was 19 at the time. What s Trump s excuse?Visitors to Trump s Mar-a-Lago resort were shocked to find that over the weekend, his staff hung banners  honoring  Abraham Lincoln by photoshopping a  Make America Great Again  trucker hat onto the former president s head.This is genuinely hanging in Mar-a-Lago for a dinner honoring Lincoln  pic.twitter.com/sRQLtjwBi4  B (@bXbyrne) March 25, 2017The banner went up in conjunction with a Republican Party of Palm Beach County dinner to celebrate  Lincoln Day.  Honoring Lincoln apparently didn t include celebrating his actual accomplishments, but connecting him to Donald Trump.They were so proud of this feat of egomania that they distributed the picture in the dinner program as well.The cover of the 2017 Lincoln Day Dinner program for Republican Party of Palm Beach County tonight at Mar-a-Lago. @WPTV pic.twitter.com/SJPlB8V6qb  Andrew Lofholm (@AndrewLofholm) March 24, 2017The only person who might find this stunt in good taste is Donald Trump   who recently learned that Abraham Lincoln was a Republican. Great president. Most people don t even know he was a Republican. Right? Does anyone know? A lot of people don t know that. We have to build that up a little more. The Florida Republicans hosting the dinner (which, itself, is probably an ethics violation due to the fact that the current president owns the resort and will profit from it) seemed to take Trump s idea and run with it.That s an awfully big dose of wishful thinking. While it s impossible to know what a man who has been dead for 152 years would make of modern life, the idea that he would enthusiastically endorse a race-baiting grifter like Donald Trump is hard to picture. Trump couldn t even get a single living president to support him. Adding to that, the fact that Lincoln is widely regarded as perhaps America s greatest orator only makes it more unlikely that he would be impressed by a guy who can barely string two sentences together coherently.I mean, seriously  look at this garbage: Look, having nuclear my uncle was a great professor and scientist and engineer, Dr. John Trump at MIT; good genes, very good genes, OK, very smart, the Wharton School of Finance, very good, very smart you know, if you re a conservative Republican, if I were a liberal, if, like, OK, if I ran as a liberal Democrat, they would say I m one of the smartest people anywhere in the world it s true! but when you re a conservative Republican they try oh, do they do a number. It s not exactly  Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal. If Lincoln were alive today, he would probably have a really articulate, beautiful way of saying  Donald Trump, go screw yourself.  I ll have to settle for saying it as plainly as that.Featured image via Joe Raedle/Getty Images",News,25-Mar-17
" After His Latest Major F*ck Up, Trump Heads Back To His Golf Club AGAIN","After offering Americans a sh*t sandwich for health care coverage, a plan which was slammed by conservative groups, doctors, hospitals, democrats, and liberals, Trumpcare, the Republicans attempt to repeal and replace Obamacare, failed. Alleged president Donald Trump couldn t even get his own party to back his major campaign promise to eradicate Obamacare and replace it with a viable alternative. Republicans have been promising that for seven long years and the best they could come up with is tax cuts for the wealthy while the middle class and lower income Americans suffer. Naturally, Trump blamed Democrats.So what does an amateur president do after such a stunning defeat? The 70-year-old headed to Trump International Gold Club in Virginia on Saturday, reportedly for meetings, although, who he is meeting with is only open to speculation since it s not clear from pool reports.What is clear is that this marks the former reality show star s 12th visit to a golf course since his inauguration just two months ago. This also marks Trump s eighth weekend in a row making a trip to a Trump-owned property, the latter of which brings up his massive list of conflicts of interests. The former highlights his hypocrisy since he blasted Barack Obama for playing golf while he was in office.This also marks Mr. Trump's 8th consecutive weekend visit to a Trump-owned property (Mar-a-Lago club, FL golf club, VA golf club, DC hotel) https://t.co/uoLa4UvKKO  Bradd Jaffy (@BraddJaffy) March 25, 2017Trump obviously needs a safe place to go to. The Trump-owned business, though, will profit from his presidency. This has been a reoccurring problem with the alleged billionaire, who, by the way, still refuses to release his tax returns.Each vacation Trump takes is costing the taxpayers dearly. Don t  worry,  though! As Trump put it in a tweet reportedly while he was en route to the golf club,  ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry! ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!  Donald J. Trump (@realDonaldTrump) March 25, 2017Trump is literally hoping Obamacare, which provides coverage for millions of Americans, will  explode. How is any of this Making America Great Again? Asking for a friend Photo by Spencer Platt/Getty Images",News,25-Mar-17
 Fox News FIRES Longtime Executive For Making Racist Remarks To Black Employees,"For years, Fox News hosts have been spewing racist remarks without consequences but apparently, when the racism is directed against their own African-American employees, the conservative network draws a line.Fox has reportedly fired longtime comptroller Judy Slater for making racist comments to black employees after her behavior was brought to the attention of her bosses.According to The Wrap,Slater, who is white and has worked at Fox for 19 years, was accused of asking one African-American employee if all three of her children were fathered by the same man, according to an individual familiar with the matter. She also referred to African American women as  sista  and stereotyped African-American employees  speech, openly complaining that they mispronounced words, the individual said.In a statement, Fox News condemned Slater s  abhorrent behavior  and claimed that such behavior is not tolerated by the network. We take any complaint of this nature very seriously and took the appropriate action in investigating and firing Ms. Slater within two weeks of this being brought to our attention. There is no place for abhorrent behavior like this at Fox News. Of course, if Fox News really takes racism seriously, they would oust personalities like Sean Hannity and Bill O Reilly, who have also made racist remarks over the years.Just last October, Hannity literally offered to send President Obama and his family back to Africa even though President Obama and his family are natural-born citizens of the United States.Nobody would have ever said this to any of our presidents who served before Obama, but Hannity did and he should have been fired on the spot.That same month, Bill O Reilly gave the green light to a segment featuring Jesse Watters mocking Asian-Americans. The segment drew instant outrage and condemnation from multiple Asian-American organizations. However, O Reilly is still on the air and Watters was promoted.O Reilly and Watters have often teamed up to reach new heights of racism, including a segment in 2015 aimed at shaming homeless black people.Fox host Jeanine Pirro should also be fired for taking racism and hate to a new level. Not only did she blame Michelle Obama for all the bad things that have happened in the world in a highly disrespectful rant, she told a black  Hamilton  actor to shut up and stick to hip-hop.So while it s good to see Fox News punishing racists in their ranks, they need to start cleaning house by firing the hosts who spew racism on the air. If Fox News truly takes racism seriously, that s what they need to do.",News,25-Mar-17
 ‘Pizzagate’ Conspiracy Rally Melts Down When Crowd Can’t Agree On Whether To Blame Jews,"A DC rally meant to prove  the existence of the long-debunked conspiracy theory known as  Pizzagate  reached a painfully stupid peak when the crowd couldn t agree on whether or not a secret Jewish cabal was to blame.For those that can t recall this particularly bit of idiocy coming from the right, Pizzagate was a conspiracy floated by right-wing fringe sites that claimed Hillary Clinton and other high-ranking politicians were involved in a child-sex ring in the basement of a pizza restaurant in Washington D.C. The conspiracy had been repeatedly disproven, but the requirement of having at least two brain cells and the ability to use them meant that a vocal group of nutjobs believed a cover-up was at play. It would have been mostly harmless if not for the fact that a believer of the conspiracy brought a rifle into the actual pizza place demanding to see the sex dungeon in the basement. He was arrested, but not before discovering the pizza place has no basement.His arrest did not stop the conspiracy. The remaining fanatics decided to host the DC rally to keep the conspiracy alive. Unfortunately, a gathering of this size of people dumb enough to believe the conspiracy in the first place was bound to have problems. It didn t take long for cracks to emerge. Naturally, xenophobia played a part.Members of the crowd  some of whom carpooled in a giant trailer decorated with Trump decals   grew tense when one speaker defended his personal theory that a Zionist plot was at the heart of Pizzagate. Others said they supported Israel. A fight ensued. Will Sommer of The Hill was there to witness the meltdown in all its glory:Pizzagate rally has switched into high context mode. References to international conspiracies, lines from the Book of Ephesians  Will Sommer (@willsommer) March 25, 2017Pizzagate rally divided over Zionism!  I don t have a problem with the state of Israel  speaker sez. Man in crowd:  Well I do!  Will Sommer (@willsommer) March 25, 2017Speaker has wisely moved on from claim that  pedo-sadism  is inherent to  Zionism.  Organizer defends his right to make claim.  Will Sommer (@willsommer) March 25, 2017Before that debate had been settled, the crowd had moved on. Other unrelated points of contention were brought up.Pizzagate rally going off the rails. Discussions of apocryphal Christian  lesser gods  angels as  God s scientists.  Crowd restless.  Will Sommer (@willsommer) March 25, 2017Pizzagate rally is getting off course. Now talking about father's rights, family court, pro se litigants, American Bar Association. pic.twitter.com/7RJi1AbjWg  Will Sommer (@willsommer) March 25, 2017Meanwhile, this happened This family of 5 wore matching Pizzagate outfits. pic.twitter.com/ADyZhN8MLV  Will Sommer (@willsommer) March 25, 2017But while Pizzagate believers rallied, the perpetrator of the myth, InfoWars, publicly apologized for helping start it. They did this not out of the kindness of their own hearts, but because the owner of Comet Pizza threatened to sue them if they didn t stop lying. Donald Trump recently gave InfoWars a press pass to attend White House press briefings.Featured image via Will Sommer/Twitter",News,25-Mar-17
 The Wall Street Journal HUMILIATES Trump And GOP For Choking On Healthcare Bill,"Donald Trump and his Republican allies are total losers, and even the conservative-leaning Wall Street Journal admits it.The GOP proved that they are totally incapable of governing on Friday as the vote for Trumpcare failed to materialize after Republicans leaders in the House canceled the vote because they could not get the necessary support for it from their own party.It marked the second time in two days that Republicans failed to even bring their healthcare bill to the House floor for a vote.Of course, that s a good thing for the American people because the GOP plan would have gutted the Affordable Care Act, stripped health insurance from over 20 million people and caused premiums to skyrocket to prices unreachable for most Americans.But the failure to pass their own bill despite controlling Congress and the White House demonstrates once and for all that even with absolute power, Republicans are incapable of governing.For seven years, Republicans vowed to repeal the Affordable Care Act. They rehearsed the vote to repeal it over 60 times in order to pander to their rabid base. But when it came down to it, Republicans choked under pressure from millions of Americans who angrily protested their effort to kill healthcare.In an editorial on Friday, the Wall Street Journal humiliated Trump and the GOP for failing to govern. House Republicans pulled their health-care bill shortly before a vote on Friday, and for once the media dirge is right about a GOP defeat. This is a major blow to the Trump Presidency, the GOP majority in Congress, and especially to the cause of reforming and limiting government. Republicans have campaigned for more than seven years on repealing and replacing ObamaCare, and they finally have a President ready to sign it. In the clutch they choked. Indeed, and it goes much deeper than that. For years, Republicans obstructed any and all legislation, including their own bills, all while insisting that they were capable of governing if only they could get a Republican in the White House.In November, they got their wish, but still could not pass their own bill, and the Wall Street Journal predicts that they won t repeal the Affordable Care Act at all. The risk of political suicide is not only too high to ignore, it s clear that there are conservatives who think government works best by failing to do anything. There will be no such repeal in this Congress, and probably not in any other. Republicans run the government and that means they are responsible for what happens in health care  Much of the current conservative establishment profits from fanning resentments, not governing. Legislative compromises don t help Heritage Action raise money for its perpetual outrage machine. An earlier generation of leaders at Heritage understood that the goal of winning elections was to achieve something. The current leaders seem happy with failure. In the end, the Wall Street Journal noted that this legislative failure is an  ominous  sign that Trump s presidency is a failure. Perhaps Mr. Trump and the GOP can recover from this debacle, but as an opening act to a new Presidency the collapse of his first legislative campaign is ominous. And that s particularly embarrassing because Trump has not even completed 100 days yet.Featured image via Andrew Harrer-Pool/Getty Images",News,25-Mar-17
